,text,date,sentiment
0,"vaccine tourism in the us is becoming more prevalent with houston, dallas, miami, and las vegas being the most visi…",2021-05-31 06:06:55,-1
1,the tourism authority of kiribati (tak) welcomes the commencement of the kiribati covid-19 vaccination program now…,2021-05-31 05:09:50,1
2,‘like a dream’: latin americans head to u.s. for covid shots,2021-05-31 04:28:08,1
3,nytimes: ‘like a dream’:  americans head to u.s. for  shots ‘like a dream’: latin americans head to u.s…,2021-05-31 04:13:04,1
4,vaccine tourism packages let rich asians flock to us for covid jabs - traveller,2021-05-31 04:02:33,0
5,"‘like a dream’: latin americans head to u.s. for covid shots

frustrated with the lagging pace of vaccinations at h…",2021-05-31 03:14:31,1
6,"el sueño americano 

‘like a dream’: latin americans head to u.s. for covid shots - the new york times",2021-05-31 02:52:20,0
7,"the new york times: ‘like a dream’: latin americans head to u.s. for covid shots.


via",2021-05-31 02:22:35,0
8,vaccine tourism packages let wealthy asian people travel to us for covid jab: wealthy asians are escaping covid-19…,2021-05-31 02:18:27,0
9,"frustrated with the lagging pace of vaccinations at home, well-off latin americans have been flying north for a sho…",2021-05-31 02:05:28,1
10,"crocodile tears.

‘like a dream’: latin americans head to u.s. for covid shots",2021-05-31 01:17:10,1
11,[] 'like a dream': latin americans head to u.s. for covid shots.,2021-05-30 23:19:01,1
12,"read: ""‘like a dream’: latin americans head to u.s. for covid shots"" those who can afford to and can get visas. thi…",2021-05-30 22:45:59,1
13,"for the european union the 💉 is only good if it is produced by the pharmaceutical lobbies

eu agrees to open up to…",2021-05-30 22:08:53,1
14,covid vaccine tourism?,2021-05-30 20:45:53,0
15,doesn’t care about floridians. last year cruise ships full of passengers were stranded off…,2021-05-30 19:11:36,1
16,"“‘like a dream’: latin americans head to u.s. for covid shots” ,",2021-05-30 18:38:22,1
17,‘like a dream’: latin americans head to u.s. for covid shots - the new york times,2021-05-30 18:16:13,0
18,is willing to destroy f…,2021-05-30 18:07:08,0
19,"noticias: ‘like a dream’: latin americans head to u.s. for covid shots , see more",2021-05-30 17:23:40,1
20,"eu agrees to open up to foreign tourists fully vaccinated against covid-19, but not to those who've had russia’s sp…",2021-05-30 17:09:29,1
21,"top story: ‘like a dream’: latin americans head to u.s. for covid shots , see more",2021-05-30 17:03:50,1
